"address","amount"
"erd1s8dfe2nk5qau6app2ytgn52n93ylut64cxguxzj8gzjqt8ntpacsur9j58","10"
"erd1a0rmdwuw87a9t9q7x4r007q6dj58cqla6ees2wl2r2wlf6qylals8m8wte","10"
"erd1w6vzldwdevezge3hewzcfclnuk5jwjrxwm2xkh4n6flzj5ukg0hq30j0e0","10"
"erd1wg045a4xwddcmwhvhq7cf8gu4qtrlu9025qeuw4djycf8h05vd6s3d9e8x","10"
"erd1axafc6hklmg0rg07hk7396e8sugnfanckeee0975gkkqh6rcqejs5my5pq","10"
"erd18xxy39esf5kv6rrpv7jdufkc03gw9hv64s3llx0wprl52t40zumqadgyvv","10"
"erd1z86xnrugys8jrsd2ltcr5rjdrlhjffmaqcw9wyefms7as3zzdj3s66xf7a","10"
"erd10w62dr9wstjwxgazfnzxg0zfqmw5e9zdmp2efmryzxhfdalr72lqxrrydf","10"
"erd15ln8h8cx8tpsh995d5k60ue22eye8gp7ng2k98ftwfm3u7ykq79sgxtw4t","10"
"erd12f09pvuh68sg75wdw49w9alqwxnpv3kwkx3vxk83ycvmgdn26lysj4ekc7","10"
"erd144yt65x86zvdxx4vj3edh3jq52fdntlsjpr99c8zewxj2svwz8msqjtuaa","10"
"erd1z9scs3g9ujnkwfrmqyzdlse0wxsj398e7qy3n93lwzud6t6hxdksq9y3w3","10"
"erd1jprgyf6c42964506z38ux303s77puwslxtapkzmnzy68zrm288fqmgn4gt","10"
"erd1t87ggqmaywqc3vfh4nna5uns9v6nq3snzthc2ku6h9chg5g6ngpsacpfcd","10"
"erd1adwuywzd4r8czv9qnxq9txc4yw0rtvu29jvuqlmqm0jy8jdcqxlstmkfrk","10"
"erd1ez3rnudzdlxw3klqmyde2xgex4g999rzrm2nuqmscehpzs7xh5mqxuklrc","10"
"erd1eh5cgkmca9eegex4cp2fz2ftcr79tk2u6ma0s98ne72y8w4yx7fqml57e9","10"
"erd1e6wwnln2n3m6g9fup393aef0hrwtu4zhc7lethgjf0strw5xt8zs5dj4yq","10"
"erd1rqx79dcwvtsd8rtx7thf9n4sgkzddrd0aksq5x93dmy33ggesqdq23emq3","10"
"erd1nr2vuatplymp5tsg93pvmexdkgykyz0m3xa9acgsza92p3qhxkssvmu53u","10"
"erd14llc0ppw3lmmv4qyu0hghwxwg0fedgxg9vhqsefalquqfdvew70ssj9kmp","10"
"erd12ct4ku3jtjkdq0dlwugksp40dymup5pw4z0y46jcrjljlyjhm6tswlruq4","10"
"erd163hfxnlmtcj7hzzfrssxxsrxc5lv9pwf7g2qfr6fmacldlhkdyaq2p4kv8","10"
"erd1xra4ehte0hnle9re82er8f87lq658vu3k20dhey9gp75up3vka2qy7yvgk","10"
"erd1stzcw4hffmyltvl452cm0x00u0mdhje8yuazv977fdu9ctkn8fes6myjva","10"
"erd17fkuz3jdc68ewncsuaeqy8mqdk9fnvzatw9w3tv6pywd50yf52lskm0y2c","10"
"erd15d6cfveevw2kcja5js9a3lfvkqgmt4nq20x8xt0wj00trp4chsjsrz7ngx","10"
"erd1fzj9v0lacneq7a8ze7cc8ppqw8rxdr9h8nllznkrvsx6tpcuwtwqedlf7u","10"
"erd1qspvuaj2y8cjgv7nryntfjdqy477h5hrqzve0ckqsq0ak368h59sh4vqnv","10"
"erd1emmytuzz7hstx7yaae3h7fs3mvwmk3ptuhzp4za0l6lr3l742srqm0qunw","10"
"erd1e7ew8cqt2cdpr3xj633dz0rjklgy07gwqj2pmcmd5ezyegqpc8fs2hzw4p","10"
"erd1hkvn3shrs4e7253mw50x3qje3kmplua58cewcnkmctmtzxd6nadqdk2qmw","10"
"erd19947qrpw7lumqtqylde52wq7jht4dx4vm8lwdmtwgfks6cnn6aysawp9tl","10"
"erd1txrfppl4mgrcktwztprjxsyzazs9aqdk2m5cssz22e2azqfgnzrs4hyk0s","10"
"erd19a0us0ztzwgz9aem850jlvxpe4lys2tvcf0urlgsf9w0rp6p7s8q50e2ks","10"
"erd1dv0urtc7dzam6053dvqkf2ykq9uy58lnm3n4tj989vtpqma2l8vs69l5ut","10"
"erd1zw89j68k23mtwjc0e9759u85dcvv0aht3mm3yku53vtvgtmukd7sk0pryk","10"
"erd1rr98nrpw8lnt9ax25606kejx0rwe27wva3r3fj9hkg66tsf4xmxs2ua6pq","10"
"erd1csd0sacq0huaa27azfn00qqn9jm8jdycx4j2c6fd9z9sn2ltwlrszd90te","10"
"erd1sxcxl3f8jh7dphnp7k7cj722djx330cawcjkpr8vzeszk4yf2jtskg8rc0","10"
"erd19v82js6dmu4ct9ws63sqy77r9wjzwg9nee0slfadzf9jrmfwxdesweqe7z","10"
"erd1j07fz0dy5nul355dq0flhet9njrlfnadflzzseknnh0txsr5g9rsezttwq","10"
"erd1ddu75g0xz9ypadzscz0uxwuq6dxzs3llf7ycqkn8c97q4scw3wmskl272c","10"
"erd16u85f92rj0evz3tnqseexaak2mxz8wc0gjm5vz246ncnhz8c2hhq2cwv59","10"
"erd1av96uuzv5zthrhwtysvm68pusg7jzn4uvzg8ze4h7xatk6y0racsys2k9m","10"
"erd1adffdy86hskc0fpvzl09tfe90sgn0edjsy8xme84nqnr23yk3k3qvz0vgp","10"
"erd1urwyquj29hu4rwfl7ydn9204wd0cg37d4cdupr4txz9wz04khqeqrns8cf","10"
"erd1akzcramyj0xxnnqnnjn49p9qx7yv0dqyye82f9y3u2njqfeecf3s3kw47c","10"
"erd1287a3pchs8ggntsgjphtnnkry2yfatpapqcdxl2e4ex0uyye7j2qnavs95","10"
"erd14vl4czhkdym7w9a4v6gyez3zsh8hqzwkqv8ethlm47f7zxye9twqaf4ul6","10"
"erd1vmnqjcu4vzmfrsz3trz8ptqs662lxymd4u6fd4ry0g32eguxrupqeu8rq0","10"
"erd1t6jy25ghm5aagg0mv6uhh2eq4ga7v8yuku02wsk4a7ae8nasah2qgddu2j","10"
"erd1uxe53tudva080r6ea7qr4uzpqrkr4frgve4jnp0w53dasrg2k3hscc72v3","10"
"erd1p8qz6ks33v2v98jhrmf5edeq4uhd69ys59vmw2vx5r50xg84e27skf93ug","10"
"erd1pnxwwm3eqx77e3s28g0ft9ym99vgygyela2hzy949vf5v7pwr8vshsajz9","10"
"erd1npnz5r8lw8fmd6r5z6mm63umcdjtygexuunzmfmfywtktu68v8ws3vfrpk","10"
"erd179zxewq398gdmk00zrh0kkc4sfzwk3033aennccrutfgwnwyet5smj6w28","10"
"erd1lk87x7xkmehdxdxgnavg2pg2424hfvq0nk2wdn6exwnx2lxz0n5qehhrx3","10"
"erd15lj0nqu4wc02kfyudnahsn4ycfg0p4zkgdkz63yj5nr5swc89mds4a242d","10"
"erd15ycm30sgk6e45dytwyuhjqlz5chtkmh62y50zkz6hc9qehlkffssw5k67k","10"
